sys.exec.out.time {s},fd_obj.time {1},fd_obj.in_mat3x3[0][0] {1},fd_obj.in_mat3x3[0][1] {1},fd_obj.in_mat3x3[0][2] {1},fd_obj.in_mat3x3[1][0] {1},fd_obj.in_mat3x3[1][1] {1},fd_obj.in_mat3x3[1][2] {1},fd_obj.in_mat3x3[2][0] {1},fd_obj.in_mat3x3[2][1] {1},fd_obj.in_mat3x3[2][2] {1},fd_obj.out_mat3x3_deriv1[0][0] {1},fd_obj.out_mat3x3_deriv1[0][1] {1},fd_obj.out_mat3x3_deriv1[0][2] {1},fd_obj.out_mat3x3_deriv1[1][0] {1},fd_obj.out_mat3x3_deriv1[1][1] {1},fd_obj.out_mat3x3_deriv1[1][2] {1},fd_obj.out_mat3x3_deriv1[2][0] {1},fd_obj.out_mat3x3_deriv1[2][1] {1},fd_obj.out_mat3x3_deriv1[2][2] {1},fd_obj.error_deriv1_mx[0][0] {1},fd_obj.error_deriv1_mx[0][1] {1},fd_obj.error_deriv1_mx[0][2] {1},fd_obj.error_deriv1_mx[1][0] {1},fd_obj.error_deriv1_mx[1][1] {1},fd_obj.error_deriv1_mx[1][2] {1},fd_obj.error_deriv1_mx[2][0] {1},fd_obj.error_deriv1_mx[2][1] {1},fd_obj.error_deriv1_mx[2][2] {1}
                  10,                 1.5,  0.9974949866040544,  0.1411200080598677, -0.9775301176650969, -0.2794154981989267,  0.9379999767747386,  0.4121184852417582, -0.8796957599716693, -0.5365729180004365,  0.8037844265516199,  0.0721020482425101,  -2.035654387348558, -0.7366992619512081,   4.188822822637769,   2.448027123342743,  -6.165119746019732,  -5.612036370840309,   7.132331283472258,   10.16064113661646, 0.01929460796623687, 0.02811606872720305,  0.1649493078776448, 0.09064581587158538,  0.4124510673824798,  0.1277421030276467,  0.6859247607272453, 0.05651149847441602,  0.8976650096664124
                  11,                1.65,  0.9968650284539189, -0.1577456941432478,  -0.971903069401821,   0.311541363513377,  0.9226042102393409, -0.4575358937753198, -0.8502029170863681,  0.5920735147072216,  0.7565121516412432,-0.07887167742600676,  -2.034457448117947,   0.686286693429099,   4.265071985932837,  -1.780477342001051,   -6.83730603815969,   3.143183078279715,   9.805253286856404,  -4.500150247106308,-0.003149754565265582, 0.03012614035916302,-0.02812121350066771,   0.122112633797919, -0.0768700650685471,  0.2815590922102543, -0.1470761100155594,  0.5208847989053553, -0.2354246729865225
                  12,                 1.8,  0.9738476308781953, -0.4425204432948517, -0.7727644875559883,  0.7936678638491521,  0.4121184852417582, -0.9809362300664909, 0.03362304722113492,  0.9656577765492784,  -0.472421986398463, -0.2280741152567849,  -1.851528484172322,   1.972628990914076,   2.851408797650074,  -5.053538028191173,  -2.335155432854785,   8.739950166790699,-0.02631215727162561,  -12.13176713069581,0.003838083292657082, 0.03234519489717927, 0.03600185521980068,  0.1717771991018219,  0.1092899093786899,   1.002741519519591,  0.2492706652888521, -0.9873410317659945,  0.5294034478871275
                  13,                1.95,  0.9289597150038694, -0.6877661591839731, -0.4197640178398605,  0.9985433453746049, -0.3195191936222719, -0.7619835839190344,  0.8836626267646335,  0.1077536522994476, -0.9634392999433269, -0.3721545001575146,  -1.503207995052535,   2.866209424341836,  0.4416664808019448,  -5.614757705315029,   3.934194249111804,   5.554309247743312,   -9.82432211530517, -0.8137260086496187,0.005331634269185572, 0.03536375661696549, 0.05263123714053061,   1.046441655890227,  0.1850733166207124,  0.0125119652183366,  0.6950043960603545,  0.2352322495550957,  -1.337457975435516
                  14,                 2.1,  0.8632093666488739, -0.8715757724135877, 0.01681390048434882,  0.8545989080882814, -0.8796957599716693, 0.03362304722113492,  0.8457468311429353, -0.8875670335815029, 0.05042268780681122, -0.5078770973022015,  -1.020610412665738,   3.189110950854997,  -2.122362644614744,  -3.162973400613864,   7.226224157576834,  -3.212623221361981,  -7.093526444643392,   11.77534425598426,0.006003795364028392, 0.04088514545656395, 0.06318727961728585, 0.02176440202843782,  0.3302745651923414,  0.2050520468287931, -0.1398808023337233,   0.924749336761876,  0.3100379952404539
                  15,                2.25,  0.7780731968879215, -0.9775301176650969,   0.450044073780616,  0.4121184852417582, -0.9678079975112619,  0.8037844265516189,-0.04202435271883725, -0.7509872467716785,   0.985525111565119, -0.6321938697595413, -0.4468447417497097,    2.87704200521531,  -3.944989437510824,  0.9861328457687284,   5.049591689504282,  -8.751325853212068,   4.683533487701409,   5.971484278415961, 0.00639989788074409, 0.05989954011498443, 0.07391622404692041, 0.08244386191020552, -0.2163898312961239,  0.4146400803009101,  0.2512948181116234, -0.1133925907774014,   2.913762603701666
                  16,   2.399999999999999,  0.6754631805511513, -0.9961646088358408,  0.7936678638491521, -0.1743267812229779, -0.5365729180004379,  0.9656577765492784, -0.8875670335815029,  0.3433149288198921,  0.3812504916549467, -0.7423129308311953,  0.1668362391309248,   1.992137323031138,   -4.38951792182562,   4.606058253573551, -0.9484710977916849,  -5.496189529087419,   10.48775579988296,  -9.159754278296088,0.006671083827097056,-0.04663898611813357, 0.09154983063409444,  0.1144440078134147, 0.09167189557114236, -0.3915783048436435,  0.7043768783324237,   0.395806084904247,  0.1008994573801655
                  17,   2.549999999999999,  0.5576837173914174, -0.9258146823277328,  0.9792677826861996, -0.6998746875935411,  0.1825991346311305,  0.3967405731306153, -0.8412309652277636,  0.9997929001426691, -0.8185322973052331, -0.8357612438081055,  0.7656142356502267,  0.7105865548086896,   -3.30066150882318,   5.754270261279608,  -6.228749867512168,   3.281836286412947,   2.917105794589203,  -9.983579156567895,0.006876313792538873, 0.01277687695966047,  0.1692855349500495,  0.1552639761744697,  0.1705337122761424,  0.1309403716151181, -0.1328747449329714,   16.91759773197722,    0.93100579140586
                  18,   2.699999999999999,  0.4273798802338306, -0.7727644875559883,  0.9698898108450867, -0.9809362300664909,  0.8037844265516189,  -0.472421986398463, 0.05042268780680768,  0.3812504916549467, -0.7397785850778982,  -0.910440161043423,    1.29600219269042, -0.7124461145346217,  -1.058789070160954,   3.814612743766324,  -6.795234917228578,   8.762082969166588,  -8.373683989286484,   4.786813085473952,0.007043706724724972, 0.02096796877200097,-0.02489123826047032,   0.362102583016847,  0.2823937640838969,   0.284972205572205,   0.253320403059449,  0.1322254795264541, -0.2095298897909272
                  19,   2.849999999999999,  0.2874780123425453, -0.5506855425976391,  0.7674011568674896,  -0.919328525664677,  0.9936411011327629, -0.9840650050816421,   0.891408704446865, -0.7234947560442401,  0.4944993831046535, -0.9646725550542303,   1.710622133677677,  -1.993626633638931,   1.552948852261305, -0.1720508939235202,  -2.219221655068198,   5.437681322952005,  -8.985644448699466,   12.08026730773441,0.007188775576850015, 0.02467708938188712, 0.03645685811133731,-0.01335139829628639, -0.6943865378386361,   1.080154142352983,  0.7140579986167679,  0.6270562738319831,  0.5442774146201698
