sys.exec.out.time {s},test.att_manager.maneuver.active {--},test.att_manager.maneuver.maneuvering {--},test.att_manager.maneuver.currentEuler {rad},test.att_manager.maneuver.eulerTarget {rad},test.att_manager.quatBodyWrtRef.scalar {--},test.att_manager.quatBodyWrtRef.vector[0] {--},test.att_manager.quatBodyWrtRef.vector[1] {--},test.att_manager.quatBodyWrtRef.vector[2] {--},test.att_manager.maneuver.mnvrRate[0] {rad/s},test.att_manager.maneuver.mnvrRate[1] {rad/s},test.att_manager.maneuver.mnvrRate[2] {rad/s}
                 4.9,1,1,  0.4900000000000062,  0.5496313191970182,  0.9701373249726604,  -0.242125869444533,0.008630740123386953,-0.01158207086811847, 0.09982253386118828,-0.003558241629407039,0.004775002621850346
                   5,1,1,  0.5000000000000062,  0.5496313191970182,  0.9689124217106705, -0.2469649010007737,0.008803230670995909,-0.01181354554096536, 0.09982253386118828,-0.003558241629407039,0.004775002621850346
                 5.1,1,1,  0.5100000000000053,  0.5496313191970182,  0.9676632956886013, -0.2517977584473522, 0.00897550113829659,-0.01204472487578901, 0.09982253386118828,-0.003558241629407039,0.004775002621850346
                 5.2,1,1,  0.5200000000000046,  0.5496313191970182,  0.9663899781345394, -0.2566243209630839, 0.00914754721853629, -0.0122756030931181, 0.09982253386118828,-0.003558241629407039,0.004775002621850346
                 5.3,1,1,  0.5300000000000037,  0.5496313191970182,  0.9650925008813571, -0.2614444678841575,0.009319364610571961,-0.01250617442100921, 0.09982253386118828,-0.003558241629407039,0.004775002621850346
                 5.4,1,1,  0.5400000000000029,  0.5496313191970182,  0.9637708963659177,  -0.266258078707151,0.009490949018977752,-0.01273643309519116, 0.09982253386118828,-0.003558241629407039,0.004775002621850346
                 5.5,0,0,   0.550000000000002,  0.5496313191970182,  0.9624948442832919, -0.2708185062696456,0.009653508539088997,-0.01295458076912169,-0.002634426709981686,9.39059190995282e-05,-0.0001260175830111451
                 5.6,0,0,   0.550000000000002,  0.5496313191970182,  0.9625306354302344, -0.2706917228059328,0.009648989256908366,-0.01294851609265817,-0.002634426709981686,9.39059190995282e-05,-0.0001260175830111451
                 5.7,0,0,   0.550000000000002,  0.5496313191970182,  0.9625664098173459, -0.2705649346288659,0.009644469806717054,-0.01294245119073175,-0.002634426709981686,9.39059190995282e-05,-0.0001260175830111451
                 5.8,0,0,   0.550000000000002,  0.5496313191970182,   0.962602167444004, -0.2704381417406528,0.009639950188593756,-0.01293638606344805,-0.002634426709981686,9.39059190995282e-05,-0.0001260175830111451
                 5.9,0,0,   0.550000000000002,  0.5496313191970182,  0.9626379083095853, -0.2703113441435012,0.009635430402617169,-0.01293032071091267,-0.002634426709981686,9.39059190995282e-05,-0.0001260175830111451
                   6,0,0,   0.550000000000002,  0.5496313191970182,  0.9626736324134678, -0.2701845418396191,0.009630910448865987,-0.01292425513323123,-0.002634426709981686,9.39059190995282e-05,-0.0001260175830111451
                 6.1,0,0,   0.550000000000002,  0.5496313191970182,  0.9627093397550297, -0.2700577348312143,0.009626390327418919,-0.01291818933050933,-0.002634426709981686,9.39059190995282e-05,-0.0001260175830111451
                 6.2,0,0,   0.550000000000002,  0.5496313191970182,  0.9627450303336492, -0.2699309231204945,0.009621870038354668,-0.01291212330285259,-0.002634426709981686,9.39059190995282e-05,-0.0001260175830111451
                 6.3,0,0,   0.550000000000002,  0.5496313191970182,   0.962780704148705, -0.2698041067096685,0.009617349581751944,-0.01290605705036665,-0.002634426709981686,9.39059190995282e-05,-0.0001260175830111451
                 6.4,0,0,   0.550000000000002,  0.5496313191970182,  0.9628163611995754, -0.2696772856009438,0.009612828957689451,-0.01289999057315712,-0.002634426709981686,9.39059190995282e-05,-0.0001260175830111451
                 6.5,0,0,   0.550000000000002,  0.5496313191970182,  0.9628520014856398, -0.2695504597965291,0.009608308166245912,-0.01289392387132964,-0.002634426709981686,9.39059190995282e-05,-0.0001260175830111451
                 6.6,0,0,   0.550000000000002,  0.5496313191970182,  0.9628876250062773, -0.2694236292986322,0.009603787207500042,-0.01288785694498985,-0.002634426709981686,9.39059190995282e-05,-0.0001260175830111451
                 6.7,0,0,   0.550000000000002,  0.5496313191970182,  0.9629232317608685, -0.2692967941094619,0.009599266081530557,-0.01288178979424337,-0.002634426709981686,9.39059190995282e-05,-0.0001260175830111451
                 6.8,0,0,   0.550000000000002,  0.5496313191970182,  0.9629588217487925, -0.2691699542312265,0.009594744788416187,-0.01287572241919586,-0.002634426709981686,9.39059190995282e-05,-0.0001260175830111451
                 6.9,0,0,   0.550000000000002,  0.5496313191970182,  0.9629943949694302, -0.2690431096661349,0.009590223328235651,-0.01286965481995296,-0.002634426709981686,9.39059190995282e-05,-0.0001260175830111451
                   7,0,0,   0.550000000000002,  0.5496313191970182,  0.9630299514221617, -0.2689162604163953,0.009585701701067682,-0.01286358699662033,-0.002634426709981686,9.39059190995282e-05,-0.0001260175830111451
                 7.1,0,0,   0.550000000000002,  0.5496313191970182,  0.9630654911063684, -0.2687894064842167,0.009581179906991009, -0.0128575189493036,-0.002634426709981686,9.39059190995282e-05,-0.0001260175830111451
                 7.2,0,0,   0.550000000000002,  0.5496313191970182,  0.9631010140214307, -0.2686625478718079,0.009576657946084368,-0.01285145067810845,-0.002634426709981686,9.39059190995282e-05,-0.0001260175830111451
                 7.3,0,0,   0.550000000000002,  0.5496313191970182,  0.9631365201667306, -0.2685356845813777,0.009572135818426497,-0.01284538218314054,-0.002634426709981686,9.39059190995282e-05,-0.0001260175830111451
                 7.4,0,0,   0.550000000000002,  0.5496313191970182,  0.9631720095416499, -0.2684088166151351,0.009567613524096135,-0.01283931346450553,-0.002634426709981686,9.39059190995282e-05,-0.0001260175830111451
                 7.5,0,0,   0.550000000000002,  0.5496313191970182,  0.9632074821455707, -0.2682819439752893,0.009563091063172029, -0.0128332445223091,-0.002634426709981686,9.39059190995282e-05,-0.0001260175830111451
                 7.6,0,0,   0.550000000000002,  0.5496313191970182,  0.9632429379778752, -0.2681550666640494,0.009558568435732925,-0.01282717535665691,-0.002634426709981686,9.39059190995282e-05,-0.0001260175830111451
                 7.7,0,0,   0.550000000000002,  0.5496313191970182,  0.9632783770379458, -0.2680281846836243,0.009554045641857575,-0.01282110596765465,-0.002634426709981686,9.39059190995282e-05,-0.0001260175830111451
                 7.8,0,0,   0.550000000000002,  0.5496313191970182,  0.9633137993251658, -0.2679012980362237, 0.00954952268162472,-0.01281503635540799,-0.002634426709981686,9.39059190995282e-05,-0.0001260175830111451
                 7.9,0,0,   0.550000000000002,  0.5496313191970182,  0.9633492048389183, -0.2677744067240566,0.009544999555113122,-0.01280896652002263,-0.002634426709981686,9.39059190995282e-05,-0.0001260175830111451
                   8,0,0,   0.550000000000002,  0.5496313191970182,  0.9633845935785866, -0.2676475107493329,0.009540476262401537,-0.01280289646160425,-0.002634426709981686,9.39059190995282e-05,-0.0001260175830111451
                 8.1,0,0,   0.550000000000002,  0.5496313191970182,  0.9634199655435549, -0.2675206101142619,0.009535952803568728,-0.01279682618025854,-0.002634426709981686,9.39059190995282e-05,-0.0001260175830111451
   8.199999999999999,0,0,   0.550000000000002,  0.5496313191970182,  0.9634553207332069, -0.2673937048210533,0.009531429178693453,-0.01279075567609121,-0.002634426709981686,9.39059190995282e-05,-0.0001260175830111451
   8.300000000000001,0,0,   0.550000000000002,  0.5496313191970182,  0.9634906591469273, -0.2672667948719168,0.009526905387854489,-0.01278468494920795,-0.002634426709981686,9.39059190995282e-05,-0.0001260175830111451
                 8.4,0,0,   0.550000000000002,  0.5496313191970182,  0.9635259807841002,  -0.267139880269062,0.009522381431130593,-0.01277861399971447,-0.002634426709981686,9.39059190995282e-05,-0.0001260175830111451
                 8.5,0,0,   0.550000000000002,  0.5496313191970182,  0.9635612856441116,  -0.267012961014699,0.009517857308600544,-0.01277254282771648,-0.002634426709981686,9.39059190995282e-05,-0.0001260175830111451
                 8.6,0,0,   0.550000000000002,  0.5496313191970182,   0.963596573726346, -0.2668860371110375,0.009513333020343117,-0.01276647143331969,-0.002634426709981686,9.39059190995282e-05,-0.0001260175830111451
   8.699999999999999,0,0,   0.550000000000002,  0.5496313191970182,  0.9636318450301893, -0.2667591085602878, 0.00950880856643709,-0.01276039981662981,-0.002634426709981686,9.39059190995282e-05,-0.0001260175830111451
   8.800000000000001,0,0,   0.550000000000002,  0.5496313191970182,  0.9636670995550271,   -0.26663217536466,0.009504283946961243,-0.01275432797775258,-0.002634426709981686,9.39059190995282e-05,-0.0001260175830111451
                 8.9,0,0,   0.550000000000002,  0.5496313191970182,  0.9637023373002452, -0.2665052375263644,0.009499759161994362, -0.0127482559167937,-0.002634426709981686,9.39059190995282e-05,-0.0001260175830111451
                   9,0,0,   0.550000000000002,  0.5496313191970182,  0.9637375582652308, -0.2663782950476108,0.009495234211615234,-0.01274218363385892,-0.002634426709981686,9.39059190995282e-05,-0.0001260175830111451
                 9.1,0,0,   0.550000000000002,  0.5496313191970182,  0.9637727624493705, -0.2662513479306102,0.009490709095902649,-0.01273611112905396,-0.002634426709981686,9.39059190995282e-05,-0.0001260175830111451
   9.199999999999999,0,0,   0.550000000000002,  0.5496313191970182,  0.9638079498520509, -0.2661243961775724,0.009486183814935392,-0.01273003840248456,-0.002634426709981686,9.39059190995282e-05,-0.0001260175830111451
   9.300000000000001,0,0,   0.550000000000002,  0.5496313191970182,  0.9638431204726597, -0.2659974397907083,0.009481658368792266,-0.01272396545425645,-0.002634426709981686,9.39059190995282e-05,-0.0001260175830111451
                 9.4,0,0,   0.550000000000002,  0.5496313191970182,  0.9638166405711135, -0.2660938227643946,0.009474184378131091,-0.01272008943376806,               0.002,9.39059190995282e-05,-0.0001260175830111451
                 9.5,0,0,   0.550000000000002,  0.5496313191970182,  0.9637901509718881, -0.2661902030607122,0.009466710292143066,-0.01271621328529335,               0.002,9.39059190995282e-05,-0.0001260175830111451
                 9.6,0,0,   0.550000000000002,  0.5496313191970182,  0.9637636516752507, -0.2662865806786915,0.009459236110903399,-0.01271233700887132,               0.002,9.39059190995282e-05,-0.0001260175830111451
   9.699999999999999,0,0,   0.550000000000002,  0.5496313191970182,  0.9637371426814669, -0.2663829556173624,0.009451761834487296,-0.01270846060454098,               0.002,9.39059190995282e-05,-0.0001260175830111451
   9.800000000000001,0,0,   0.550000000000002,  0.5496313191970182,   0.963710623990804, -0.2664793278757555,0.009444287462969962,-0.01270458407234132,               0.002,9.39059190995282e-05,-0.0001260175830111451
                 9.9,0,0,   0.550000000000002,  0.5496313191970182,  0.9636840956035286, -0.2665756974529012,0.009436812996426597,-0.01270070741231136,               0.002,9.39059190995282e-05,-0.0001260175830111451
                  10,0,0,   0.550000000000002,  0.5496313191970182,   0.963657557519908, -0.2666720643478294,0.009429338434932407,-0.01269683062449009,               0.002,9.39059190995282e-05,-0.0001260175830111451
