sys.exec.out.time {s},luwinds.altitude {1},luwinds.lookup_table_winds.altitude {m},luwinds.lookup_table_winds.u {m/s},luwinds.lookup_table_winds.v {m/s},luwinds.lookup_table_winds.w {m/s},luwinds.lookup_table_winds.rho {kg/m3},luwinds.lookup_table_winds.P {N/m2},luwinds.lookup_table_winds.T {K},luwinds.lookup_table_winds.wind_number {--},luwinds.lookup_table_winds.SOS {m/s},luwinds.lookup_table_winds.wind_velocity_tc[0] {m/s},luwinds.lookup_table_winds.wind_velocity_tc[1] {m/s},luwinds.lookup_table_winds.wind_velocity_tc[2] {m/s},luwinds.lookup_table_winds.wind_angle_blowing_from {rad},luwinds.lookup_table_winds.wind_vmag {m/s}
                  32,               61000,               61000,   88.84120210694198,    18.5975978524843, -0.4104719958005583,0.0002508781550958934,   17.62479820313064,   244.7802946250587,2,   313.6134432843573,    18.5975978524843,   88.84120210694198,  0.4104719958005583,   4.506033515918976,   90.76782648575748
                  33,               63000,               63000,   93.45299290750896,   9.284503105827085,  0.6308586947329355,0.0001897548018379664,   13.38057812401549,   245.4748166554875,2,    314.199196072807,   9.284503105827085,   93.45299290750896, -0.6308586947329355,   4.613364481812371,   93.91518441650292
                  34,               65000,               65000,   107.6627922622764,    12.2582965271456,   1.276279892891076,0.0001488736281822498,   10.19171699588263,   238.1581685295594,2,   309.5842153297607,    12.2582965271456,   107.6627922622764,  -1.276279892891076,   4.599018952036383,   108.3659151293547
                  35,               67000,               67000,   100.3461492773803,   5.947522634703835,   1.316206777738071,0.0001108349540767589,   7.544779438482852,   237.0916206702867,2,    308.708735714117,   5.947522634703835,   100.3461492773803,  -1.316206777738071,   4.653188175079873,   100.5308664071407
                  36,               69000,               69000,   91.66176198519118,   14.49364729097497,   4.196711383953043,8.393214490255493e-05,   5.610426436884653,   233.0617261163794,2,   305.9129014521322,   14.49364729097497,   91.66176198519118,  -4.196711383953043,   4.555566374800662,   92.89540789762013
                  37,               71000,               71000,   78.73509208212604,     23.184808204742,   3.674840623322751,6.355621104369421e-05,   4.181115239013767,   229.3134095550849,2,   303.4807071962488,     23.184808204742,   78.73509208212604,  -3.674840623322751,   4.426016944300136,   82.15993251140341
                  38,               73000,               73000,   79.39969150032618,   31.60008175496399,   2.742853783312047,4.748817521492689e-05,   3.103779703209094,   227.7633966293487,2,   302.4939697734588,   31.60008175496399,   79.39969150032618,  -2.742853783312047,   4.333618752375328,   85.50087382093827
                  39,               75000,               75000,   78.91069082660765,   32.48024942079569,  0.6134993019614878,3.595297500813712e-05,   2.315780706288309,   224.5448822322632,2,   300.2930749571015,   32.48024942079569,   78.91069082660765, -0.6134993019614878,   4.321916172914392,   85.33604227149901
                  40,               77000,               77000,   94.80583986788935,    44.3880958718462,  -2.106903600583971,2.253866980392288e-05,   1.431256991194305,   221.4040153195614,1,   298.1663904228257,    44.3880958718462,   94.80583986788935,   2.106903600583971,      4.274503422326,   104.7038173657782
                  41,               79000,               79000,   87.02160874934506,   44.01193760239119,   1.942607753468836,1.747883456711555e-05,   1.067922271330169,   213.1594775080553,1,   292.4674939172082,   44.01193760239119,   87.02160874934506,  -1.942607753468836,   4.244145014114387,   97.53760693047938
                  42,               81000,               81000,   94.59942545563008,   26.94797162930933,   5.045019514026467,1.288387202029603e-05,  0.7770923854002196,   210.3978595636843,1,   290.5876437425587,   26.94797162930933,   94.59942545563008,  -5.045019514026467,   4.434875602265032,    98.4921148791429
                  43,               83000,               83000,    90.9949646113427,   40.44470067355942,   2.484341929746858,9.42900513979359e-06,  0.5621195038241169,   207.9800646760361,1,   288.8985810156841,   40.44470067355942,    90.9949646113427,  -2.484341929746858,   4.294141762205222,   99.60938385522333
                  44,               85000,               85000,   92.36353707534143,   31.53675179736333,  0.7282567708809743,6.732764495626929e-06,  0.3938052610870998,   203.6693344747838,1,   286.1594305835623,   31.53675179736333,   92.36353707534143, -0.7282567708809743,   4.383358842582622,   97.60184451597625
                  45,               87000,               87000,   87.70631376033671,   37.78101879809597,    3.10951661173822,4.353498879098224e-06,  0.2601794449374452,   208.0131902551458,1,   285.2768356416314,   37.78101879809597,   87.70631376033671,   -3.10951661173822,    4.30564347157612,   95.54827025335094
                  46,               89000,               89000,   82.96372856581102,   31.43239975122249,   3.080037817318868,3.367058524890504e-06,  0.1901072526220998,   196.3364244182645,1,   277.2277010379153,   31.43239975122249,   82.96372856581102,  -3.080037817318868,     4.3502304754457,   88.77196992642629
                  47,               91000,               91000,   112.5208345301011,   26.72298371807423,   1.683027033881165,2.716176593064807e-06,  0.1415272659725613,   180.5883013424011,1,   274.2835993300858,   26.72298371807423,   112.5208345301011,  -1.683027033881165,   4.479215190485684,   115.6628230770096
                  48,               93000,               93000,   52.73570441622819,   51.94599750479883,   4.421083776894736,1.863731549959544e-06, 0.09707392739375441,   180.0145901690601,1,              274.61,   51.94599750479883,   52.73570441622819,  -4.421083776894736,   3.934534560704137,   74.15515598261983
                  49,               95000,               95000,   64.79745857984794,   49.05917033980508,   2.665944834518139,1.338536933424047e-06, 0.06814525674741634,   175.3582213792284,1,              274.61,   49.05917033980508,   64.79745857984794,  -2.665944834518139,   4.064349384486341,   81.31801826592809
