sys.exec.out.time {s},test.att_manager.perturbation.randomRates {--},test.att_manager.perturbation.prescribedAng[0] {rad},test.att_manager.perturbation.prescribedAng[1] {rad},test.att_manager.perturbation.prescribedAng[2] {rad},test.att_manager.perturbation.driftRate[0] {rad/s},test.att_manager.perturbation.driftRate[1] {rad/s},test.att_manager.perturbation.driftRate[2] {rad/s}
                  10,0,1.499999999998447e-05,0.005019999999999886,-0.009979999999999689,              -0.002,              -0.002,              -0.002
                10.1,0,-0.0001850000000000149, 0.00481999999999989,-0.009839999999999694,              -0.002,              -0.002,               0.002
                10.2,0,-0.0003850000000000141,0.004619999999999895,-0.009639999999999699,              -0.002,              -0.002,               0.002
                10.3,0,-0.0005850000000000166,0.004419999999999896, -0.0094399999999997,              -0.002,              -0.002,               0.002
                10.4,0,-0.0007850000000000153,0.004219999999999901,-0.009239999999999705,              -0.002,              -0.002,               0.002
                10.5,0,-0.0009850000000000141,0.004019999999999906,-0.00903999999999971,              -0.002,              -0.002,               0.002
                10.6,0,-0.001185000000000014,0.003819999999999908,-0.008839999999999714,              -0.002,              -0.002,               0.002
                10.7,0,-0.001385000000000013,0.003619999999999908,-0.008639999999999719,              -0.002,              -0.002,               0.002
                10.8,0,-0.001585000000000017,0.003419999999999904,-0.00843999999999972,              -0.002,              -0.002,               0.002
                10.9,0,-0.001785000000000016,0.003219999999999904,-0.008239999999999725,              -0.002,              -0.002,               0.002
                  11,0,-0.001985000000000016,0.003019999999999904,-0.00803999999999973,              -0.002,              -0.002,               0.002
                11.1,0,-0.002185000000000016,0.002819999999999904,-0.007839999999999734,              -0.002,              -0.002,               0.002
                11.2,0,-0.002385000000000016,0.002619999999999904,-0.007639999999999739,              -0.002,              -0.002,               0.002
                11.3,0,-0.00258500000000002,  0.0024199999999999,-0.00743999999999974,              -0.002,              -0.002,               0.002
                11.4,0,-0.00278500000000002,  0.0022199999999999,-0.007239999999999745,              -0.002,              -0.002,               0.002
                11.5,0,-0.00298500000000002,0.002019999999999899,-0.00703999999999975,              -0.002,              -0.002,               0.002
                11.6,0,-0.00318500000000002,  0.0018199999999999,-0.006839999999999754,              -0.002,              -0.002,               0.002
                11.7,0,-0.00338500000000002,  0.0016199999999999,-0.006639999999999759,              -0.002,              -0.002,               0.002
                11.8,0,-0.003585000000000024,0.001419999999999897,-0.00643999999999976,              -0.002,              -0.002,               0.002
                11.9,0,-0.003785000000000024,0.001219999999999897,-0.006239999999999765,              -0.002,              -0.002,               0.002
                  12,0,-0.003985000000000023,0.001019999999999898,-0.00603999999999977,              -0.002,              -0.002,               0.002
                12.1,0,-0.004185000000000019,0.0008199999999998988,-0.005839999999999774,              -0.002,              -0.002,               0.002
                12.2,0,-0.004385000000000014,0.0006199999999999001,-0.005639999999999779,              -0.002,              -0.002,               0.002
                12.3,0,-0.004585000000000013,0.0004199999999998977,-0.00543999999999978,              -0.002,              -0.002,               0.002
                12.4,0,-0.004785000000000008,0.0002199999999998985,-0.005239999999999785,              -0.002,              -0.002,               0.002
                12.5,0,-0.004985000000000003,1.999999999989915e-05,-0.005039999999999789,              -0.002,              -0.002,               0.002
                12.6,0,-0.005184999999999999,-0.0001800000000001002,-0.004839999999999794,              -0.002,              -0.002,               0.002
                12.7,0,-0.005384999999999994,-0.0003800000000000994,-0.004639999999999799,              -0.002,              -0.002,               0.002
                12.8,0,-0.005584999999999993,-0.0005800000000001019, -0.0044399999999998,              -0.002,              -0.002,               0.002
                12.9,0,-0.005784999999999988,-0.0007800000000001006,-0.004239999999999805,              -0.002,              -0.002,               0.002
                  13,0,-0.005984999999999983,-0.0009800000000000993,-0.004039999999999809,              -0.002,              -0.002,               0.002
