sys.exec.out.time {s},test_object.var {--}
   8.300000000000001,   2.453990499739547
                 8.4,   2.587785252292472
                 8.5,   2.707106781186548
                 8.6,   2.809016994374947
   8.699999999999999,   2.891006524188367
   8.800000000000001,   2.951056516295154
                 8.9,   2.987688340595138
                   9,                   3
                 9.1,   2.987688340595138
   9.199999999999999,   2.951056516295155
   9.300000000000001,   2.891006524188368
                 9.4,   2.809016994374948
                 9.5,   2.707106781186549
                 9.6,   2.587785252292473
   9.699999999999999,   2.453990499739548
   9.800000000000001,   2.309016994374946
                 9.9,   2.156434465040231
                  10,                   2
                10.1,   1.843565534959771
                10.2,   1.690983005625055
                10.3,   1.546009500260451
                10.4,   1.412214747707528
                10.5,   1.292893218813452
                10.6,   1.190983005625054
                10.7,   1.108993475811633
                10.8,   1.048943483704847
                10.9,   1.012311659404862
                  11, -0.1000000000000001
                11.1,-0.08402239865574135
                11.2,-0.01623981454572609
                11.3,  0.1021561034787768
                11.4,  0.2687036320376137
                11.5,    0.47972042044892
                11.6,  0.7303838550482566
                11.7,   1.014840615565177
                11.8,   1.326342952262617
                11.9,   1.657408521561891
                  12,   1.999999999999998
                12.1,    2.34572016773891
                12.2,   2.686017727512378
                12.3,   3.012398814419194
                12.4,   3.316638965135138
                12.5,   3.590990257669732
                12.6,   3.828378407287378
                12.7,   4.022584809907594
                12.8,    4.16840885715295
                12.9,   4.261806299962865
                  13,                4.29
                13.1,   4.261806299962866
                13.2,   4.177919422315902
                13.3,   4.040404940391362
                13.4,   3.852648917118628
                13.5,   3.619274528917197
                13.6,   3.346028227749765
                13.7,   3.039638244403569
                13.8,   2.707648917118628
                13.9,   2.358234924942133
                  14,   2.000000000000002
                14.1,   1.641765075057871
                14.2,   1.292351082881376
                14.3,  0.9603617555964343
                14.4,  0.6539717722502381
                14.5,  0.3807254710828061
                14.6,  0.1473510828813738
                14.7,-0.04040494039136044
                14.8, -0.1779194223159011
                14.9, -0.2618062999628656
                  15,               -0.29
                15.1, -0.2618062999628661
                15.2, -0.1779194223159024
                15.3,-0.04040494039136266
                15.4,  0.1473510828813716
                15.5,  0.3807254710828032
                15.6,  0.6539717722502347
                15.7,  0.9603617555964303
                15.8,   1.292351082881372
                15.9,   1.641765075057867
                  16,   2.078459095727844
                16.1,   2.382683432365094
                16.2,   2.649448048330183
                16.3,   2.852640164354093
                16.4,   2.972369920397676
                16.5,   2.996917333733128
                16.6,   2.923879532511286
                16.7,   2.760405965600032
                16.8,   2.522498564715947
                16.9,   2.233445363855911
                  17,   1.921540904272156
                17.1,   1.617316567634906
                17.2,   1.350551951669817
                17.3,   1.147359835645907
                17.4,   1.027630079602325
                17.5,   1.003082666266872
                17.6,   1.076120467488714
                17.7,   1.239594034399967
                17.8,   1.477501435284053
                17.9,   1.766554636144089
                  18,   2.078459095727844
                18.1,   2.382683432365094
                18.2,   2.649448048330183
                18.3,   2.852640164354093
                18.4,   2.972369920397675
                18.5,   2.996917333733128
                18.6,   2.923879532511284
                18.7,   2.760405965600031
                18.8,   2.522498564715947
                18.9,   2.233445363855908
                  19,   2.078459095727844
                19.1,   2.382683432365091
                19.2,    2.64944804833018
                19.3,   2.852640164354094
                19.4,   2.972369920397675
                19.5,   2.996917333733128
                19.6,   2.923879532511286
                19.7,   2.760405965600033
                19.8,    2.52249856471595
                19.9,   2.233445363855912
                  20,   1.921540904272153
                20.1,   1.617316567634906
                20.2,   1.350551951669817
                20.3,   1.147359835645907
                20.4,   1.027630079602325
                20.5,   1.003082666266872
                20.6,   1.076120467488716
                20.7,   1.239594034399969
                20.8,   1.477501435284053
                20.9,   1.766554636144092
                  21,   1.999999999999997
                21.1,   1.765348302439649
                21.2,   1.536474508437584
                21.3,   1.319014250390683
                21.4,   1.118322121561292
                21.5,  0.9393398282201795
                21.6,  0.7864745084375786
                21.7,  0.6634902137174523
                21.8,  0.5734152255572686
