sys.exec.out.time {s},test.var_i {1},test.constraints.threshold_x4s.violation_count {--},test.constraints.threshold_x4s.violated {--},test.constraints.threshold_x4s.tests[0].violation {--},test.constraints.threshold_x4s.tests[1].violation {--},test.constraints.threshold_x4s.tests[2].violation {--},test.constraints.threshold_x4s.tests[3].violation {--},test.constraints.threshold_x4s.tests[0].violation_timer {s},test.constraints.threshold_x4s.tests[1].violation_timer {s},test.constraints.threshold_x4s.tests[2].violation_timer {s},test.constraints.threshold_x4s.tests[3].violation_timer {s},test.constraints.threshold_x4s.test_violated_time_limit {--},test.constraints.threshold_x4s.test_violated_index {--}
                   2,21,1,1,0,0,1,0,                   0,                   0,   2.100000000000001,   2.100000000000001,                 1.8,2
                 2.1,21,1,1,0,0,1,0,                   0,                   0,   2.200000000000001,   2.200000000000001,                 1.8,2
                 2.2,21,1,1,0,0,1,0,                   0,                   0,   2.300000000000001,   2.300000000000001,                 1.8,2
                 2.3,21,1,1,0,0,1,0,                   0,                   0,   2.400000000000001,   2.400000000000001,                 1.8,2
                 2.4,21,1,1,0,0,1,1,                   0,                   0,   2.500000000000001,   2.500000000000001,                 1.8,2
                 2.5,21,1,1,0,0,1,1,                   0,                   0,   2.600000000000001,   2.600000000000001,                 1.8,2
                 2.6,21,1,1,0,0,1,1,                   0,                   0,   2.700000000000001,   2.700000000000001,                 1.8,2
                 2.7,21,1,1,0,0,1,1,                   0,                   0,   2.800000000000001,   2.800000000000001,                 1.8,2
                 2.8,21,1,1,0,0,1,1,                   0,                   0,   2.900000000000001,   2.900000000000001,                 1.8,2
                 2.9,21,1,1,0,0,1,1,                   0,                   0,   3.000000000000001,   3.000000000000001,                 1.8,2
                   3,25,1,1,0,0,1,1,                   0,                   0,   3.100000000000001,   3.100000000000001,                 1.8,2
                 3.1,25,1,1,0,0,1,1,                   0,                   0,   3.200000000000002,   3.200000000000002,                 1.8,2
                 3.2,25,1,1,0,0,1,1,                   0,                   0,   3.300000000000002,   3.300000000000002,                 1.8,2
                 3.3,25,1,1,0,0,1,1,                   0,                   0,   3.400000000000002,   3.400000000000002,                 1.8,2
                 3.4,25,1,1,0,0,1,1,                   0,                   0,   3.500000000000002,   3.500000000000002,                 1.8,2
                 3.5,25,1,1,0,0,1,1,                   0,                   0,   3.600000000000002,   3.600000000000002,                 1.8,2
                 3.6,25,1,1,0,0,1,1,                   0,                   0,   3.700000000000002,   3.700000000000002,                 1.8,2
                 3.7,25,1,1,0,0,1,1,                   0,                   0,   3.800000000000002,   3.800000000000002,                 1.8,2
                 3.8,25,1,1,0,0,1,1,                   0,                   0,   3.900000000000002,   3.900000000000002,                 1.8,2
                 3.9,25,1,1,0,0,1,1,                   0,                   0,   4.000000000000002,   4.000000000000002,                 1.8,2
                   4,33,1,1,0,0,0,1,                   0,                   0,                   0,   4.100000000000001,                 2.5,3
                 4.1,33,1,1,0,0,0,1,                   0,                   0,                   0,   4.200000000000001,                 2.5,3
                 4.2,33,1,1,0,0,0,1,                   0,                   0,                   0,   4.300000000000001,                 2.5,3
                 4.3,33,1,1,0,0,0,1,                   0,                   0,                   0,                 4.4,                 2.5,3
                 4.4,33,1,1,0,0,0,1,                   0,                   0,                   0,                 4.5,                 2.5,3
                 4.5,33,1,1,0,0,0,1,                   0,                   0,                   0,                 4.6,                 2.5,3
                 4.6,33,1,1,0,0,0,1,                   0,                   0,                   0,   4.699999999999999,                 2.5,3
                 4.7,33,1,1,0,0,0,1,                   0,                   0,                   0,   4.799999999999999,                 2.5,3
                 4.8,33,1,1,0,0,0,1,                   0,                   0,                   0,   4.899999999999999,                 2.5,3
                 4.9,33,1,1,0,0,0,1,                   0,                   0,                   0,   4.999999999999998,                 2.5,3
                   5,37,1,1,0,0,0,1,                   0,                   0,                   0,   5.099999999999998,                 2.5,3
                 5.1,37,1,1,0,0,0,1,                   0,                   0,                   0,   5.199999999999998,                 2.5,3
                 5.2,37,1,1,0,0,0,1,                   0,                   0,                   0,   5.299999999999997,                 2.5,3
                 5.3,37,1,1,0,0,0,1,                   0,                   0,                   0,   5.399999999999997,                 2.5,3
                 5.4,37,1,1,0,0,0,1,                   0,                   0,                   0,   5.499999999999996,                 2.5,3
                 5.5,37,1,1,0,0,0,1,                   0,                   0,                   0,   5.599999999999996,                 2.5,3
                 5.6,37,1,1,0,0,0,1,                   0,                   0,                   0,   5.699999999999996,                 2.5,3
                 5.7,37,1,1,0,0,0,1,                   0,                   0,                   0,   5.799999999999995,                 2.5,3
                 5.8,37,1,1,0,0,0,1,                   0,                   0,                   0,   5.899999999999995,                 2.5,3
                 5.9,37,1,1,0,0,0,1,                   0,                   0,                   0,   5.999999999999995,                 2.5,3
                   6,5,1,1,0,0,0,1,                 0.1,                 0.1,                 0.1,   6.099999999999994,                 2.5,3
                 6.1,5,1,1,0,0,0,1,                 0.2,                 0.2,                 0.2,   6.199999999999994,                 2.5,3
                 6.2,5,1,1,0,0,0,1,                 0.3,                 0.3,                 0.3,   6.299999999999994,                 2.5,3
                 6.3,5,1,1,0,0,0,1,                 0.4,                 0.4,                 0.4,   6.399999999999993,                 2.5,3
